SEKOLAH KEBANGSAAN AIR HITAM LABU,ABA9010
SEKOLAH KEBANGSAAN SUNGAI ITEK,ABA9011
SEKOLAH KEBANGSAAN ULU GERUNTUM,ABA9012
SEKOLAH KEBANGSAAN POS DIPANG,ABA9014
SEKOLAH KEBANGSAAN SENTOSA,ABA9015
SEKOLAH KEBANGSAAN CHANGKAT TUALANG,ABA9016
SEKOLAH KEBANGSAAN AMINUDIN BAKI,ABAA001
SEKOLAH KEBANGSAAN BALUN,ABAA002
SEKOLAH KEBANGSAAN DATUK NAN KAYA,ABAA003
SEKOLAH KEBANGSAAN ULU SLIM,ABAA004
SEKOLAH KEBANGSAAN KUALA SLIM,ABAA005
SEKOLAH KEBANGSAAN TANJONG MALIM,ABAA006
SEKOLAH KEBANGSAAN BEHRANG,ABAA007
SEKOLAH KEBANGSAAN SLIM VILLAGE,ABAA008
SEKOLAH KEBANGSAAN DATO KAMARUDDIN,ABAA009
SEKOLAH KEBANGSAAN SUNGAI BEHRANG,ABAA010
SEKOLAH KEBANGSAAN POS BERSIH,ABAA011
